id;code;niveau;specialite;libelle
1;drive;I;Leu encryption target;de
2;b bus;II;Marshall Tasty;copy
3;Singapore B2C Synergized;IV;Auvergne green User-centric;Salad Towels
4;payment mindshare monitoring;V;deposit;Wooden Centre Ergonomic
5;transmit;I;fuchsia;Incredible Shirt Specialiste
6;Handmade;V;Toys Basse-Normandie Soap;Handmade AGP
7;c;II;Pays withdrawal index;bypass
8;Towels Mandatory;II;Handcrafted indexing;Steel b Cloned
9;Tools Concrete deposit;V;input;Steel interface mesh
10;sticky;I;microchip;Bûcherie index b
