id;code;intitule;description
1;database compress;Cotton;Alsace protocol
2;Île-de-France;connect;1080p forecast
3;Colombian structure Turquie;contingency seize;olive invoice Account
4;Seychelles Fresh redundant;matrices;Account Venezuela withdrawal
5;Quetzal;hardware;leverage deposit
6;infrastructures back-end;synthesize static Renminbi;Cross-group Licensed dynamic
7;Pierre;payment Checking;b Savings withdrawal
8;Rosiers index open-source;Frozen Rustic;Berkshire Lari Singapour
9;Balanced;Limousin invoice;Frozen Buckinghamshire Granite
10;Dollar;COM;transmit Oberkampf Saint-Dominique
