id;nom;date_creation;etat
1;Licensed c matrix;2021-06-30T05:51:39;true
2;24/7 visualize online;2021-06-29T21:45:31;false
3;navigating;2021-06-30T14:12:40;true
4;Shoes visualize Paris;2021-06-30T13:37:00;false
5;Berkshire Card Investment;2021-06-30T12:21:26;true
6;Franc matrix AGP;2021-06-29T16:59:12;false
7;Administrateur Tasty Languedoc-Roussillon;2021-06-30T06:14:54;false
8;bypassing viral Malaysian;2021-06-30T08:10:20;true
9;bluetooth cross-platform Kwacha;2021-06-30T08:50:40;true
10;payment index overriding;2021-06-30T04:54:11;false
