id;code;libelle;credit;description
1;Checking mobile;markets Tonga Bacon;8454;interactive Handcrafted
2;Metal b payment;state Pérou exploit;29357;Lesotho c Granite
3;Tools;matrix c;76335;Centre
4;B2B;Balboa invoice;94397;model
5;engineer Cotton;markets quantifying;24864;Fully-configurable de
6;a regional;cross-platform Multi-lateral Rustic;79464;radical
7;c;Books;79684;Designer Kids programming
8;Money Montmorency Franche-Comté;directional;36044;a Granite
9;Chips budgetary c;Rubber applications;80721;c
10;CFA;proactive Home port;58946;Ngultrum Oberkampf Royale
