id;code;nom;campus;capacite;batiment
1;compressing zero ROI;Ergonomic partnerships Games;Joubert;82230;Cheese
2;Practical Stagiaire;FTP;panel a firewall;79830;Open-architected even-keeled Tenge
3;core up;Toys azure;Granite core Coordinateur;66113;b protocol
4;Stand-alone quantifying;Poitou-Charentes technologies;back;1827;synthesizing
5;Generic auxiliary Customizable;Steel;Steel;50914;du e-business azure
6;a Virtual;Rustic Frozen;Saint-Denis Andorre;83254;Loan protocol
7;Frozen Midi-Pyrénées;Plastic a quantify;Steel;63637;Car
8;Fresh back-end;Riel d'Alésia;input d'Assas Estonie;44994;invoice Borders Buckinghamshire
9;quantifying a synergistic;Soap;Account Streamlined Books;92977;sensor c
10;b a grey;Fully-configurable;Manager;74531;program
